index value
-34 0.77106412054348739
-33 0.76742179242539577
-32 0.76359247358291027
-31 0.75955872343502584
-30 0.75530072081626287
-29 0.75079586664345122
-28 0.74601831750324377
-27 0.74093843971882589
-26 0.73552217265717645
-25 0.72973028945731155
-24 0.72351754317158012
-23 0.71683168654831619
-22 0.70961235451141025
-21 0.70178979972539868
-20 0.69328347338838114
-19 0.68400044492899403
-18 0.67383365451533095
-17 0.66265998884136035
-16 0.6503381595028509
-15 0.63670633703673285
-14 0.62157943966759543
-13 0.60474587194907403
-12 0.58596331546143887
-11 0.56495281985208112
-10 0.54138978985985464
-9 0.51488923143555321
-8 0.48498018849184016
-7 0.4510591823377294
-6 0.41230067833475242
-5 0.3674720406023439
-4 0.31450749823318302
-3 0.24934121171613752
-2 0.1615509994147048
-1 0.27087158386797522
0 0.31088569493461393
1 0.35842393820844615
2 0.40034265913760714
3 0.43707404896814489
4 0.46949184834783764
5 0.49830240609748183
6 0.52404913790906893
7 0.5471582902742359
8 0.56797383449995154
9 0.58678052610601483
10 0.60381889674021938
11 0.61929516216085267
12 0.63338796984602508
13 0.64625317177717634
14 0.65802734629797088
15 0.66883051121075598
16 0.67876829878359668
17 0.68793375895184194
18 0.69640889339206025
19 0.70426598460527023
20 0.7115687608765231
21 0.71837342411482275
22 0.7247295594189993
23 0.73068094040100295
24 0.73626624152223141
25 0.74151966700295746
26 0.74647150482807634
27 0.75114861359437268
28 0.75557484935934571
29 0.75977143908787736
30 0.76375730679137566
31 0.76754935791787438
32 0.77116272704326905
33 0.77461099343302398
