index value
-24 0.055557467830809455
-23 0.055248859913926786
-22 0.054914331961861872
-21 0.054550311496299825
-20 0.05415262486480512
-19 0.053716391995945453
-18 0.053235902706344047
-17 0.052704470341918781
-16 0.05211425653280484
-15 0.051456057413899775
-14 0.050719035745299311
-13 0.049890373057572122
-12 0.048954797728037
-11 0.047893912045979058
-10 0.046685180316282424
-9 0.045300322023823843
-8 0.043702612825609347
-7 0.041842066067995572
-6 0.039646187767884755
-5 0.037000499289104066
-4 0.033701684321080692
-3 0.029319019565424091
-2 0.022597416658342993
-1 0.03081279341575022
0 0.033468284127485211
1 0.036451147806246913
2 0.038952212034116244
3 0.04105877771585488
4 0.042859770142459203
5 0.044419001772138998
6 0.045782152791293926
7 0.046983005400006515
8 0.048047412142879983
9 0.048995751039348265
10 0.049844474776206162
11 0.050607119251710408
12 0.051294982991641078
13 0.051917601001912242
14 0.052483086695121577
15 0.052998386745774784
16 0.053469476781754878
17 0.053901515640917809
18 0.054298969692010292
19 0.054665714848722291
20 0.055005121462062087
21 0.055320125713999142
22 0.055613290121674354
23 0.055886855089454582
